context,avg_tokens,std_tokens,avg_score,std_score
Baseline,293.05,16.554808845360697,0.05500000000000001,0.12763022245616643
Baseline + FS,548.4333333333333,16.692996745667855,0.13999999999999999,0.2891002375793231
Baseline + FS + Schema,1889.05,17.503307958031378,0.5599999999999999,0.3466379880175312
Baseline + FS + Schema + Values,2215.116666666667,20.811679975240178,0.6174999999999999,0.3301813696169202
Baseline + FS + Guidelines,2646.9333333333334,26.266648855635626,0.915,0.12680278927697547
Full,4308.483333333334,28.988296690720556,0.9675,0.06340139463848772
